18867_3994_x27846_y7437,SSp-ul,L5
18453_4899_x10111_y5917,SSp-bfd,L4
18454_01125,VPM,
18457_00065,VPM,
18453_3516_x21006_y6048,MOs,L2/3
18454_00048,VPM,
18867_4216_x9933_y8365,SSp-m,L5
18452_4536_x11274_y21067,OT,
18465_00309,CEA,
17782_3672_x34784_y19432,CLA,
18454_00074,MD,
17543_3308_x10077_y3766,SSs,L4
18462_00022,MG,
17545_00085,VPMpc,
18464_00029,MG,
18463_00032,MG,
18458_00051,LGd,
18867_3855_x11412_y8044,SSp-m,L5
17302_00027,CP,
17545_00146,CP,
18452_4272_x26686_y20064,PIR,
18453_3225_x17398_y19713,OT,
18455_00037,CP,
18868_4549_x5910_y9879,SSp-m,L5
18455_00135,CP,
18864_2086_x2903_y21496,MOs,L2/3
18864_00119,VISp,
18869_4693_x19236_y9148,RT,
18455_00158,VPMpc,
18867_5654_x12080_y5724,SSp-un,L5
18462_00048,CP,
18454_00062,MG,
18457_00083,VPM,
18455_5517_x15391_y12702,PO,
18462_00005,CP,
18462_00061,VPM,
18454_01092,MG,
17545_00045,CP,
18454_00050,MD,
236174_5738_x11712_y6818,VISC,L6
17302_00106,CP,
18864_3772_x5344_y6871,SSp-m,L4
18458_00102,LGd,
17302_00105,CP,
pre_18864_00044,SSp-m,
18453_3810_x16082_y20891,OT,
18464_00049,VPM,
18869_3634_x5750_y7170,SSp-m,L5
18869_4520_x23555_y8194,SSs,L5
18867_5942_x29015_y5711,SSp-bfd,L5
191807_4821_x3698_y18726,SSp-ll,
18454_01072,VPM,
18457_00037,CP,
18457_00068,VPM,
18868_3453_x28753_y10380,SSp-m,L5
18454_00137,VPM,
17302_00014,CP,
18453_6477_x30376_y5078,VISp,L4
17302_00064,LD,
18457_00012,VPM,
18458_00548,VPM,
17302_00112,VPM,
